3;Alex Ovechkin;Capitals;WSH;L;48;32;24;56;64;24;88;9538462;1
38;P.K. Subban;Canadiens;MTL;D;42;11;27;38;33;54;87;2875000;2
2;Steven Stamkos;Lightning;TBL;C;48;29;28;57;58;28;86;7500000;3
39;Kris Letang;Penguins;PIT;D;35;5;33;38;15;66;81;3500000;4
5;Patrick Kane;Blackhawks;CHI;R;47;23;32;55;46;32;78;6300000;5
1;Martin St Louis;Lightning;TBL;R;48;17;43;60;34;43;77;5625000;6
17;John Tavares;Islanders;NYI;C;48;28;19;47;56;19;75;5500000;7
7;Chris Kunitz;Penguins;PIT;L;48;22;30;52;44;30;74;3725000;8
8;Phil Kessel;Mapleleafs;TOR;C;48;20;32;52;40;32;72;5400000;9
13;Jonathan Toews;Blackhawks;CHI;C;47;23;25;48;46;25;71;6300000;10
6;Eric Staal;Hurricanes;CAR;C;48;18;35;53;36;35;71;8250000;11
4;Sidney Crosby;Penguins;PIT;C;36;15;41;56;30;41;71;8700000;12
87;Andrei Markov;Canadiens;MTL;D;48;10;20;30;30;40;70;5750000;13
88;Keith Yandle;Coyotes;PHX;D;48;10;20;30;30;40;70;5250000;14
18;Jakub Voracek;Flyers;PHI;R;48;22;24;46;44;24;68;4250000;15
74;Ryan Suter;Wild;MIN;D;48;4;28;32;12;56;68;7538462;16
9;Taylor Hall;Oilers;EDM;L;45;16;34;50;32;34;66;6000000;17
104;Shea Weber;Predators;NSH;D;48;9;19;28;27;38;65;7857143;18
105;Dion Phaneuf;Mapleleafs;TOR;D;48;9;19;28;27;38;65;6500000;19
19;Andrew Ladd;Jets;WPG;L;48;18;28;46;36;28;64;4400000;20
131;Mike Green;Capitals;WSH;D;35;12;14;26;36;28;64;6083333;21
10;Pavel Datsyuk;Redwings;DET;C;47;15;34;49;30;34;64;6700000;22
11;Ryan Getzlaf;Ducks;ANA;C;44;15;34;49;30;34;64;8250000;23
106;Dustin Byfuglien;Jets;WPG;D;43;8;20;28;24;40;64;5200000;24
27;Rick Nash;Rangers;NYR;L;44;21;21;42;42;21;63;7800000;25
97;Niklas Kronwall;Redwings;DET;D;48;5;24;29;15;48;63;4750000;26
98;Kimmo Timonen;Flyers;PHI;D;45;5;24;29;15;48;63;6000000;27
21;Derek Stepan;Rangers;NYR;C;48;18;26;44;36;26;62;Not signed;28
22;Nazem Kadri;Mapleleafs;TOR;C;48;18;26;44;36;26;62;Not signed;29
12;Mike Ribeiro;Coyotes;WSH;C;48;13;36;49;26;36;62;5500000;30
119;Brian Campbell;Panthers;FLA;D;48;8;19;27;24;38;62;7142875;31
120;Justin Schultz;Oilers;EDM;D;48;8;19;27;24;38;62;3775000;32
99;Cody Franson;Mapleleafs;TOR;D;45;4;25;29;12;50;62;Not signed;33
34;Jiri Tlusty;Hurricanes;CAR;C;48;23;15;38;46;15;61;1600000;34
29;Thomas Vanek;Sabres;BUF;L;38;20;21;41;40;21;61;7142857;35
25;PA Parenteau;Avalanche;COL;R;48;18;25;43;36;25;61;4000000;36
14;Claude Giroux;Flyers;PHI;R;48;13;35;48;26;35;61;3750000;37
30;Blake Wheeler;Jets;WPG;R;48;19;22;41;38;22;60;5600000;38
26;Matt Duchene;Avalanche;COL;C;47;17;26;43;34;26;60;3500000;39
125;Mark Streit;Flyers;NYI;D;48;6;21;27;18;42;60;5250000;40
56;Jeff Carter;Kings;LAK;C;48;26;7;33;52;7;59;5272727;41
23;Matt Moulson;Islanders;NYI;L;47;15;29;44;30;29;59;3133333;42
15;Henrik Zetterberg;Redwings;DET;L;46;11;37;48;22;37;59;6083333;43
40;Logan Couture;Sharks;SJS;C;48;21;16;37;42;16;58;2875000;44
35;Pascal Dupuis;Penguins;PIT;L;48;20;18;38;40;18;58;3750000;45
43;James Neal;Penguins;PIT;L;40;21;15;36;42;15;57;5000000;46
24;Alexander Semin;Hurricanes;CAR;R;44;13;31;44;26;31;57;7000000;47
126;Duncan Keith;Blackhawks;CHI;D;47;3;24;27;9;48;57;5538462;48
127;Sergei Gonchar;Stars;OTT;D;45;3;24;27;9;48;57;5000000;49
128;Alex Goligoski;Stars;DAL;D;47;3;24;27;9;48;57;4600000;50
36;Zach Parise;Wild;MIN;L;48;18;20;38;36;20;56;7538462;51
20;Henrik Sedin;Canucks;VAN;C;48;11;34;45;22;34;56;6100000;52
140;Slava Voynov;Kings;LAK;D;48;6;19;25;18;38;56;4166667;53
16;Nicklas Backstrom;Capitals;WSH;C;48;8;40;48;16;40;56;6700000;54
44;Brad Marchand;Bruins;BOS;C;45;18;18;36;36;18;54;4500000;55
